	name	description	relationships
53	CriticalityScaleType	N/A	['cct:NumericType', 'cct:NumericType']
54	Organization	Sites that are registered to an Organization. Note that this is different to Agent.RegistrationSite, which indicates which Site registers an Organization.	['Site']
55	OrganizationType	N/A	[]
56	Manufacturer	N/A	['Model', 'Asset']
57	Model	"Identifies a class or sub-class (""model revision"", ""lot"", or ""variant""/""configuration"") of a manufacturer's products as defined by a manufacturer.

The hierarchies defined by ModelVariant and ModelRevision are orthogonal in that the Model Variants of a parent Model and the Model Revisions of the same parent may be incompatible. Moreover, the child Model of a ModelVariant may not be the parent of a ModelRevision, but the child Model of a ModelRevision may be the parent of a ModelVariant.
"	['AssetType', 'Manufacturer', 'cct:TextType', 'cct:TextType', 'cct:TextType', 'cct:TextType', 'ModelRevision', 'ModelRevision', 'ModelVariant', 'ModelVariant', 'AssetModelEvent', 'NetworkForModel', 'Function', 'EngineeringStudyEntryForModel', 'OrderedListForModel', 'HypotheticalEvent', 'Recommendation', 'PropertySetDefinitionForModel', 'PropertySetDefinitionForModel']
58	ModelRevision	"A hierarchy of a manufacturer's product Model ""class"" (e.g. AH-64) which has revision ""releases"" (e.g. AH-64A) and/or may be sub-divided into ""lots"" (e.g. AH-64A Lot 1) which vary in some way from the ""parent"" Model.

The hierarchies defined by ModelVariant and ModelRevision are orthogonal in that the Model Variants of a parent Model and the Model Revisions of the same parent may be incompatible. Moreover, the child Model of a ModelVariant may not be the parent of a ModelRevision, but the child Model of a ModelRevision may be the parent of a ModelVariant.

NOTE: This is different from a Model's Bill of Materials (BOM), which describes the decomposition of a single model into its sub-model child parts with associated quantities of each.

NOTE: This is different from a Model Variant in that the child Model is a new ""release"" or ""lot"" of the parent Model rather than the result of some combination of selections defined on the parent."	['Model', 'Model', 'cct:NumericType']
59	ModelVariant	"A hierarchy of a manufacturer's product Model ""class"" (e.g. AH-64) which has customizable ""variants"" or ""configurations"" (e.g. AH-64 with inverted mounting) which vary in a controlled fashion from the ""parent"" Model.

The hierarchies defined by ModelVariant and ModelRevision are orthogonal in that the Model Variants of a parent Model and the Model Revisions of the same parent may be incompatible. Moreover, the child Model of a ModelVariant may not be the parent of a ModelRevision, but the child Model of a ModelRevision may be the parent of a ModelVariant.

NOTE: This is different from a Model's Bill of Materials (BOM), which describes the decomposition of a single model into its sub-model child parts with associated quantities of each.

NOTE: This is different from a Model Revision in that the child Model is always a restricted version of the parent Model as a result of some combination of selections defined on the parent, rather than a new ""release"" of the parent model."	['Model', 'Model']
60	PurchaseConditionType	N/A	[]
61	ReadinessType	N/A	[]
62	Segment	"An as-designed functional unit of a system, process used for engineering, operations, or maintenance where physical assets may be installed over time.
Note: ShortName is the user identification tag which follows the nomenclature of the plant. This is normally an abbreviation or user-defined alpha-numeric code from which the plant derives meaning."	['SegmentType', 'Site', 'xs:boolean', 'Segment', 'xs:boolean', 'SegmentComponent', 'SegmentComponent', 'Criticality', 'LifecycleStatusHistory', 'LifecycleStatusType', 'AssetSegmentEvent', 'MaterialItemOnSegment', 'AgentRoleWithSegment', 'MeasurementLocation', 'NetworkForSegment', 'SegmentConnection', 'SegmentConnection', 'Function', 'EngineeringStudyEntryForSegment', 'OrderedListForSegment', 'ActualEvent', 'HypotheticalEvent', 'ProposedEvent', 'AmbiguitySet', 'HealthAssessment', 'RemainingLifeAssessment', 'Recommendation', 'SolutionPackage', 'SolutionPackageStep', 'RequestForWork', 'CalendaredWork']
63	SegmentComponent	A default decomposition of Segments into multiple sub-segments (child segments) to form a single breakdown structure. In fleet applications, a Breakdown Structure is recommended, except for specific applications such as paper form structures where there is only one published breakdown structure.	['Segment', 'Segment', 'cct:NumericType']
64	SegmentType	"This entity standardizes the name of service segments: production processes, their inputs and outputs, physical structures, systems, mechanical devices, and mechanical device areas. Many of these segments appear on the engineering blueprints of the site. These are referred to as ""service segments"" in this model. Service segment types can be thought of as the labels which are used in plant layout drawings showing the process flow, machine trains, and physical buildings in a plant."	['xs:boolean', 'AssetTypeForSegmentType', 'Function', 'EngineeringStudyEntryForSegmentType', 'HypotheticalEvent', 'Recommendation', 'SolutionPackage', 'SolutionPackageStep']
65	Site	"An enterprise-defined object (manufacturing plant, facility, fleet platform object).
For facility applications, the ""Site"" can normally represents either the ""as-designed"" model of a building or the ""as-built"" building. For industrial and manufacturing applications, this entity normally represents the ""as-designed"" model of a physical plant or the ""as-built"" tangible plant. For fleet applications, this entity normally represents the ""as-designed"" model of a ""mobile platform"" (truck, vehicle, aircraft or tank) or the ""as-built"" tangible platform."	['Organization', 'InfoSource', 'Segment', 'Asset', 'Agent', 'MeasurementLocation']
66	SiteType	N/A	[]
67	AssetModelEvent	"Tracks the Models that an Asset was associated with throughout the Asset's life.
Note: the Asset's current Model is specified directly from the Asset entity."	['Asset', 'Model']
68	AssetOwnerEvent	"Stores the change of owner of an asset over time.
Note: The End field represents the date the asset was sold/purchased."	['Asset', 'Organization', 'Site', 'Organization', 'Site', 'PurchaseConditionType', 'ReadinessType']
69	AssetSegmentEvent	Associates a specific Asset with the Segment in which the Asset is/was installed/removed. Used for asset tracking.	['Asset', 'Segment']
70	AssetTypeForSegmentType	"A constraint that indicates which asset types are suitable/applicable for which segment types. For hierarchical sets of asset types, a taxonomy can be referenced to indicate the hierarchy. For example, a validity constraint that associates the CCOM Reference Data ""Pump"" AssetType and ""Pump"" SegmentType using the CCOM Reference Data Asset Type Taxonomy will represent a constraint between the ""Pump"" SegmentType and the ""Pump"", ""Pump, Axial"", ""Pump, Centrifugal"", ""Pump, Displacement"" and so on, continuing down the asset type hierarchy."	['AssetType', 'SegmentType', 'Taxonomy']
71	LifecycleStatusType	The status of an entity as it passes through its lifecycle.	['LifecycleStatusKind']
72	LifecycleStatusKind	"A category of LifecycleStatusTypes, e.g. ""Asset Lifecycle"", which includes specific status (types), e.g. ""Design"", ""Manufactured"", ""Operational"", etc."	['LifecycleStatusType']
73	LifecycleStatusHistory	"Past/present/future lifecycle status.

To avoid ambiguity, there should not be multiple LifecycleStatusHistory for an entity with the same date, if they are of the same type."	['Entity', 'LifecycleStatusType', 'UTCDateTime']
74	LifecycleStatusKindForType	Defines the valid LifecycleStatuses for a particular (Base)Type or CCOMClass.	['LifecycleStatusKind', 'CCOMClass', 'BaseType']
75	LogisticResource	N/A	['LogisticResourceType', 'LogisticResourceComponent', 'LogisticResourceComponent']
76	LogisticResourceComponent	N/A	['LogisticResource', 'LogisticResource', 'cct:NumericType']
77	LogisticResourceType	Different kinds of logistic resources (e.g. materials, equipment, tools, documents, utilities).	[]
78	MaterialItem	An item controlled and identified with a material master number in a Material Management System.  This item can be included in a Bill of Materials or a Bill of Tools.	['AssetType', 'Model', 'Asset', 'MaterialMasterItem', 'MaterialItemOnSegment', 'TestComponentTypeRegion']
79	MaterialMasterItem	N/A	['AssetType', 'ModelForMaterialMasterItem']
80	MaterialItemOnSegment	N/A	['MaterialItem', 'Segment']
81	ModelForMaterialMasterItem	N/A	['Model', 'MaterialMasterItem']
82	Agent	A physical-instantiated intelligent object (person, group, organization, or intelligent software) which can perform work, make diagnoses, health assessments, etc.  An Agent may also be instantiated as an Asset if it is to be monitored or tracked for financial or configuration management purposes.	['AgentType', 'Site', 'AgentRole']
83	AgentRole	An agent's roles in relationship to other objects (other agents, the enterprise, assets, etc.) (i.e. equipment operator, maintenance supervisor, owner, etc.).	['AgentRoleType', 'Agent', 'AgentRoleWithAgent', 'AgentRoleWithAsset', 'AgentRoleWithSegment', 'AgentRoleWithEvent', 'AgentRoleWithAssessment', 'AgentRoleWithWork']
84	AgentRoleType	N/A	['NetworkForAgentRoleType']
85	AgentType	N/A	[]
86	AgentRoleWithAgent	Defines roles for agents in relationship to other agents. In this context, possible agent role types might include Manager Of, Owner Of, Employer Of, Buyer From, etc.	['AgentRole', 'Agent']
87	AgentRoleWithAsset	N/A	['AgentRole', 'Asset']
88	AgentRoleWithSegment	N/A	['AgentRole', 'Segment']
89	CalculationType	N/A	[]
90	MeasurementLocationAssociation	Measurement locations which are related to one another.  An example is to associate a vibration measurement location to its corresponding tachnometer signal measurement location and for multi-channel locations that are related to each other.	['MeasurementLocation']
91	MeasurementLocation	"Identifies the physical or virtual position on an asset or segment where actual measurements will be taken. These may be physical locations or virtual input/output ports.
Note: ShortName is the user identification tag which follows the nomenclature of the plant. This is normally an abbreviation or user-defined alpha-numeric code from which the plant derives meaning."	['MeasurementLocationType', 'cct:NumericType', 'cct:TextType', 'Measure', 'cct:CodeType', 'cct:NumericType', 'Measure', 'Measure', 'cct:TextType', 'cct:TextType', 'cct:IDType', 'TransducerAxisDirectionType', 'ValueClass', 'UOMQuantity', 'UnitOfMeasure', 'CalculationType', 'Site', 'Asset', 'Segment', 'MeasurementSource', 'MeasurementSourceType', 'Transducer', 'TransducerType', 'MeasurementLocationAssociation', 'MeasurementLocationRegion', 'Measurement', 'MeasurementLocationTriggeredRegion']
92	MeasurementLocationType	N/A	['UOMQuantity']
93	MeasurementSource	Data sources used to take measurements (collectors, monitoring systems, etc.).	[]
94	MeasurementSourceType	N/A	[]
95	Transducer	"Transducers that are used to take measurements.
The OutputAmplitude and PerUnitOfMeasure fields describe the raw analog output signal which comes from the transducer (e.g. 200 millivolts) representing in one resulting unit of measure (the ""per"" unit of measure, e.g. MIL)."	['Measure', 'UnitOfMeasure', 'UTCDateTime', 'xs:boolean']
96	TransducerType	"A subset of the AssetType entity which defines the kinds of assets which are valid kinds of transducers.
Note: The ShortName attribute should store the abbreviation as defined for vibration in MIMOSA Document MIM-VB-001"	[]
97	TransducerAxisDirectionType	This entity stores types of sensitive axis directions which relate to transducers placed at measurement locations on machinery. The axis direction to use for monitoring rotating machinery should conform to the guidelines as specified in MIMOSA Document MIM-VB-001.	[]
98	AssetMesh	Represents a network of assets with directed connections (in effect, a multidigraph). This can be used to represent physical connections among assets.	['MeshType', 'AssetConnection']
99	BreakdownStructure	"Associates segments into a hierarchical structure. Multiple Breakdown Structures can be used to provide different ""views"" for maintenance, system engineering, operations, logistics, diagnostic/prognostic systems, etc."	['BreakdownStructureType', 'BreakdownStructureTemplate']
100	BreakdownStructureTemplate	N/A	[]
101	BreakdownStructureType	N/A	[]
102	MeshType	N/A	[]
103	Network	Connectivity relationships between entities, and allows entities to be associated in ordered input-output flow chains (e.g. process flowcharts) or sequenced parent-child relationships.	['NetworkForSegment', 'NetworkForModel', 'NetworkForAsset', 'NetworkForAgentRoleType', 'NetworkHierarchy', 'NetworkHierarchy']
104	NetworkHierarchy	Tracks valid child networks for a parent network throughout its life.	['Network', 'Network', 'cct:NumericType']
105	SegmentMesh	Represents a network of segments with directed connections (in effect, a multidigraph). This can be used to represent a logical process flow structure of a plant.	['MeshType']
106	SegmentNetwork	Networks and their Connections exhibit containment behavior for the purposes of deletion semantics: soft-deleting a Network will imply soft-deleting any associated Connections. Note: the From and To objects referenced by a Connection will not be implied as being soft-deleted.	['SegmentConnection']
107	Taxonomy	"A hierarchy of Type classifications which have a ""super-class"" (e.g. Pump) sub-divided into its ""sub-classes"" (e.g. Pump, Centrifigual and Pump, Axial)."	['CCOMClass', 'TaxonomySet']
108	TaxonomySet	A collection/library of taxonomies.	['Taxonomy']
109	TypeNetwork	Networks and their Connections exhibit containment behavior for the purposes of deletion semantics: soft-deleting a Network will imply soft-deleting any associated Connections. Note: the From and To objects referenced by a Connection will not be implied as being soft-deleted.	['TypeConnection']
110	NetworkForAgentRoleType	Tracks networks an agent role type was associated with throughout its life.	['Network', 'AgentRoleType']
111	NetworkForAsset	"Tracks networks an asset was associated with throughout its life.
An asset can be associated with a BreakdownStructure network to specify the ""as-built"" breakdown structure for the asset."	['Network', 'Asset']
112	NetworkForModel	"Tracks networks a model was associated with throughout its life.
A model can be associated with a BreakdownStructure network to specify the ""as-designed"" breakdown structure for the model."	['Network', 'Model']
113	NetworkForSegment	Tracks networks a segment was associated with throughout its life.	['Network', 'Segment']
114	AssetConnection	Contains the connectivity relationships between assets, and allows assets to be associated in ordered input-output flow chains.	['ConnectionType', 'AssetMesh', 'Asset', 'Asset', 'cct:NumericType']
115	ConnectionType	N/A	[]
116	SegmentConnection	Contains the connectivity relationships between segments, and allows segments to be associated in ordered input-output flow chains (e.g. process flowcharts) or sequenced parent-child relationships.	['ConnectionType', 'SegmentNetwork', 'Segment', 'Segment', 'cct:NumericType']
117	TypeConnection	"The parent-child relationship between two base types within a taxonomy.

To represent a childless root base type in a taxonomy (e.g. a flat list), set the From to the root base type, and omit the To."	['TypeNetwork', 'BaseType', 'BaseType', 'cct:NumericType']
118	Function	N/A	['FunctionAffectedByEvent', 'EngineeringStudyEntry']
119	FunctionAffectedByEvent	N/A	['Function', 'Event']
120	EngineeringStudy	An activity that may provide insight into the behavior of specific segments, models, assets, or their types. For example, a failure analysis conducted on AC induction motors.	['EngineeringStudyType', 'xs:boolean', 'EngineeringStudy', 'EngineeringStudyEntry']
121	EngineeringStudyType	N/A	[]
122	EngineeringStudyEntry	N/A	['EngineeringStudyEntryType', 'EngineeringStudy', 'EventType', 'SolutionPackage', 'Function', 'EngineeringStudyEntry', 'EngineeringStudyEntryForSegmentType', 'EngineeringStudyEntryForAssetType', 'EngineeringStudyEntryForModel', 'EngineeringStudyEntryForSegment', 'EngineeringStudyEntryForAsset']
123	EngineeringStudyEntryType	N/A	[]
124	EngineeringStudyEntryForAsset	Specifies an engineering study entry (normally just top-level parent entries) valid for an asset.	['EngineeringStudyEntry', 'Asset']
125	EngineeringStudyEntryForAssetType	Specifies an engineering study entry (normally just top-level parent entries) valid for an asset type.	['EngineeringStudyEntry', 'AssetType']
126	EngineeringStudyEntryForModel	Specifies an engineering study entry (normally just top-level parent entries) valid for a model.	['EngineeringStudyEntry', 'Model']
127	EngineeringStudyEntryForSegment	Specifies an engineering study entry (normally just top-level parent entries) valid for a segment.	['EngineeringStudyEntry', 'Segment']
128	EngineeringStudyEntryForSegmentType	Specifies an engineering study entry (normally just top-level parent entries) valid for a segment type.	['EngineeringStudyEntry', 'SegmentType']
129	OrderedEntityItem	N/A	['Entity']
130	OrderedItem	N/A	['OrderedList', 'cct:NumericType']
131	OrderedList	An ordered sequence of items. For example, resources (Bill of Materials, Bill of Labor, Bill of Documents, Bill of Software, Bill of Tools, etc.), measurement locations and inspections (routes).	['OrderedListType', 'OrderedListHierarchy', 'OrderedListHierarchy', 'OrderedItem', 'Recommendation', 'SolutionPackage', 'SolutionPackageStep', 'RequestForWork', 'ActiveWork', 'CompletedWork']
132	OrderedListHierarchy	N/A	['OrderedList', 'OrderedList', 'cct:NumericType']
133	OrderedListType	N/A	[]
134	OrderedLogisticResourceItem	N/A	['LogisticResource', 'Measure']
135	OrderedMeasLocationWithUOMItem	A sequence of measurement locations with associated engineering units and channel number (set to 1 if not a multi-channel input) which has been requested for data collection/reporting at a certain place on an ordered list.	['cct:NumericType', 'MeasurementLocation', 'UnitOfMeasure', 'OrderedMeasLocationWithUOMItemSignalProcessSetup']
136	OrderedListForAsset	N/A	['OrderedList']
137	OrderedListForModel	N/A	['OrderedList']
138	OrderedListForSegment	N/A	['OrderedList']
139	AverageSynchType	Different kinds of signal processing averaging synchronization methods.	[]
140	AverageType	Different kinds of signal processing averaging methods.	[]
141	AverageWeightType	Different kinds of signal processing average weighting methods.	[]
142	CPBSetup	Collection setup parameters for signal-processed real linear Constant Percentage Band data.	['PostScalingType', 'cct:NumericType', 'Measure', 'Measure', 'AverageType', 'AverageWeightType', 'AverageSynchType', 'Percentage', 'cct:NumericType']
143	FFTSetup	"Collection setup parameters for signal-processed real/complex linear frequency/order FFT spectrum data.
Note: The bin width = (Maximum â€“ Minimum) / ResolutionLines. The frequency/order associated with the first line of the spectrum = Minimum + the bin width.
			"	['PostScalingType', 'Measure', 'Measure', 'cct:NumericType', 'WindowType', 'AverageType', 'AverageWeightType', 'AverageSynchType', 'Percentage', 'cct:NumericType', 'xs:boolean']
144	OrderedMeasLocationWithUOMItemSignalProcessSetup	N/A	['OrderedMeasLocationWithUOMItem', 'SignalProcessSetup']
145	PostScalingType	Different kinds of post-processed signal processing scaling mode methods.	[]
146	SignalProcessBlock	N/A	['SignalProcessBlockType', 'SignalProcessBlockInStream']
147	SignalProcessBlockType	N/A	[]
148	SignalProcessBlockInStream	"The processing sequence which data passed through.
Note: Care must be taken not to change the sequence of blocks in a stream if measurements have been stored for the stream. Normally, a new stream should be defined instead of updating an existing stream."	['SignalProcessStream', 'SignalProcessBlock', 'cct:NumericType']
149	SignalProcessSetup	N/A	['SignalProcessStream']
150	SignalProcessStream	N/A	['SignalProcessBlockInStream']
151	SignalProcessStreamType	N/A	[]
152	SourceDetectorType	Different kinds of source signal detector types.	[]
153	TimeWaveformSetup	Collection setup parameters for signal-processed real/complex linear time waveform data.	['Measure', 'Measure', 'cct:NumericType', 'WindowType', 'AverageType', 'AverageWeightType', 'AverageSynchType', 'Percentage', 'cct:NumericType', 'xs:boolean']
154	VectorSetup	Collection setup parameters for signal-processed frequency/order single amplitude/vector data.	['PostScalingType', 'Measure', 'Measure', 'SourceDetectorType']
155	WindowType	Different kinds of FFT and time waveform windows.	['cct:NumericType']
156	Algorithm	N/A	['AlgorithmProcessType', 'xs:boolean', 'Algorithm', 'xs:anyURI', 'ValueContent', 'PortIO', 'EventType']
157	AlgorithmProcessType	N/A	[]
158	OSACBMDataType	N/A	[]
159	OSACBMFunctionBlockType	N/A	[]
160	Port	For use when a specific MeasurementLocation is unknown (e.g. for use in an Algorithm template).	['OSACBMFunctionBlockType', 'OSACBMDataType', 'MeasurementLocationType', 'MeasurementLocation', 'AgentRoleType', 'Agent', 'HypotheticalEvent', 'ActualEvent']
161	PortIO	N/A	['Algorithm', 'Port', 'cct:NumericType']
162	MeasurementLocationRegion	Used to specify that the region only applies for a particular category of measurements that have this matching measurement location type.	['MeasurementLocation', 'MeasurementLocationType', 'CalculationType']
163	Region	"Minimum value where region begins. If not present, then value is ""-infinity""."	['RegionType', 'cct:NumericType', 'Measure', 'Measure', 'xs:boolean', 'xs:boolean', 'Measure', 'Measure', 'Measure']
164	RegionType	N/A	['SeverityLevelType']
165	RegionValidDuringEventType	N/A	['Region', 'EventType']
166	SeverityLevelType	Severity on a 0 to 100 scale where 100 is the maximum severity.	['cct:NumericType']
167	TestComponentRegion	N/A	['TestComponent']
168	TestComponentTypeRegion	N/A	['TestType', 'TestComponentType', 'MaterialItem']
169	VectorRegion	N/A	['VectorSetup']
170	CPBMeasurement	A signal-processed real linear Constant Percentage Band spectrum.	['CPBSetup', 'PostScalingType', 'Measure', 'BinaryData']
171	DataQualityType	"Various quality states with which data can be classified.
MIMOSA Reference Data entries come from the ISO 9000-2 status guidelines."	[]
172	FFTMeasurement	A signal-processed real or complex FFT measurement that is related to frequency or order ranges.	['FFTSetup', 'PostScalingType', 'Measure', 'xs:boolean', 'BinaryData']
173	MeasurementGrid	"2-D linear rectangular grid of numeric data associated with binary measurement data. Used for radiological data in thermography, thickness data in ultrasonic testing, etc.
Note: The Data field must be of type BinaryData. Grid data starts with coordinates (DataOrigin/X, DataOrigin/Y) and progressing vertically downward (increment Y) until DataEnd/Y is exceeded, whereupon Y is then set to DataOrigin/Y and X is incremented until (DataEnd/X, DataEnd/Y) is reached."	['Measurement', 'Coordinate', 'Coordinate', 'Coordinate']
174	MeasurementAssociation	Measurements that are related to one another. This is used in vibration to associate a vibration measurement to its corresponding tachometer signal measurement and for multi-channel data that are related to each other.	['Measurement', 'Measurement']
175	Measurement	A record of a measurement at a Measurement Location at an associated time.	['cct:NumericType', 'UTCDateTime', 'UTCDateTime', 'UTCDateTime', 'cct:NumericType', 'Percentage', 'MeasurementLocation', 'MeasurementSource', 'Transducer', 'Asset', 'Segment', 'DataQualityType', 'MeasurementLocationType', 'CalculationType', 'MeasurementAssociation', 'TriggeredRegionMeasurement']
176	OffsetArrayMeasurement	"Used for representing large amounts of numeric data with the same unit of measure that was captured intermittently over a period of time (at different offsets) relative to a single base reference time (Start field, which is an offset of 0).
Periodically collected time waveform numeric data (e.g. every second) should use Measurement.
Note: The Data field must be of type BinaryData and represent the data array associated with the offset data."	['cct:NumericType', 'BinaryData', 'BinaryData']
177	SingleDataMeasurement	N/A	['ValueContent', 'MeasurementGrid']
